id,full_name,phone_number,brand_supplied_field_rep_id,is_active,password_hash,created_at,updated_at,brand_id,user_id,state
1,"Kiara Jain",7294924104,FR-2026-001,1,,"2026-01-20 13:02:41.202278","2026-01-20 13:02:41.202300",8,2
2,"Sai Kapoor",7701394847,FR-2026-002,1,,"2026-01-20 13:02:41.216230","2026-01-20 13:02:41.216252",8,3
3,"Kiara Agarwal",9522502801,FR-2026-003,1,,"2026-01-20 13:02:41.231459","2026-01-20 13:02:41.231477",8,4
4,"Arjun Mehta",6909378681,FR-2026-004,1,pbkdf2_sha256$1000000$x0Y00borRn3NaWuiQarlQf$9mIKECo0go09VBQ/4U3N1xwKGMDpG7yAA6Rsom0cjCk=,"2026-01-20 13:02:41.240793","2026-01-20 13:02:41.240811",8,5
5,"Nisha Khan",8942529795,FR-2026-005,1,,"2026-01-20 13:02:41.251360","2026-01-20 13:02:41.251378",8,6
6,"Vivaan Nair",9531207421,FR-2026-006,1,,"2026-01-20 13:02:41.262207","2026-01-20 13:02:41.262224",8,7
7,"Aditi Chopra",7076927369,FR-2026-007,1,,"2026-01-20 13:02:41.271889","2026-01-20 13:02:41.271906",18,8
8,"Meera Chopra",6027285430,FR-2026-008,1,,"2026-01-20 13:02:41.280797","2026-01-20 13:02:41.280814",8,9
9,"Meera Agarwal",9380952357,FR-2026-009,1,pbkdf2_sha256$1000000$nor5bk0VEwyQRugQ86uQec$7eTjBnBIzCMf7W3p5ip7SI5bfCqPUREZm8ptLH59PKI=,"2026-01-20 13:02:41.295915","2026-01-20 13:02:41.295934",22,10
10,"Ira Agarwal",7293943296,FR-2026-010,1,pbkdf2_sha256$1000000$82DOTWCoJ0MTAKd3Hx1ul3$mPW6Z/EQCk3o+M8nEACmjbLXXZLNG0TZvpi50XhLxas=,"2026-01-20 13:02:41.308196","2026-01-20 13:02:41.308212",13,11
11,,7295977277,,1,pbkdf2_sha256$1000000$4rFUqh6W0c1cBhJYs9DUr3$QNROY3CEPpsrzTVP/lDgUr6+ccyiLdiywzTW1XTxmdk=,"2026-01-20 13:05:32.606745","2026-01-20 13:05:32.606767",12,12
12,Niomi,9876543212,FR09,1,pbkdf2_sha256$1000000$T7PTyyA4J7artkFZlOoRJL$3K0+BvAYoQOGQvEm53/A0D4i7B/E/Z4LqOL2QColgzs=,"2026-01-20 13:35:18.193247","2026-01-20 13:35:18.193266",29,13
13,,07295977277,,1,pbkdf2_sha256$1000000$RMTLp6EVcBB9SRqNsS3tGa$EcttYiVBa+nxfOz5crmdviL8/jopnDqKa8vAmZO3BSA=,"2026-01-21 09:34:48.482750","2026-01-21 09:34:48.482775",2,14
14,,9380952357,,1,pbkdf2_sha256$1000000$vdIV4eVw55mj4XlhE5PgOb$I7/e6Yr6Kn0uEh6liCxao66UUjk1rJRu4zlHNsy6HeQ=,"2026-01-21 12:25:43.162794","2026-01-21 12:25:43.162825",2,15
15,,9084712373,,1,pbkdf2_sha256$1000000$KvkZY3QAMdUxY3MLGoaHqA$BAOZ4ejgd/XhTT8ELCWYPMVzc/sc/cvj69HR01KcVn0=,"2026-01-21 14:02:20.909871","2026-01-21 14:02:20.909893",2,16
16,,729577277,,1,pbkdf2_sha256$1000000$iC9geblHDHkxaSiMHkIhBm$+Yf3HCM0ZKCiEXG7OyRVMsF314LYZ6a24M7UIr25v9Y=,"2026-01-21 19:28:08.927852","2026-01-21 19:28:08.927871",12,18
